foreign1,foreign2,definitions,level
浴衣,ゆかた,yukata (light cotton kimono worn in the summer or used as a bathrobe),JLPT N-2
さじ,匙,spoon,JLPT N-2
温まる,あたたまる,to warm oneself; to sun oneself; to warm up; to get warm,JLPT N-2
編み物,あみもの,knitting; knitted material; crochet,JLPT N-2
怪しい,あやしい,suspicious; dubious; doubtful; dodgy; suspicious (referring to a potential amorous relation); dangerous (e.g. financial situation); ominous (e.g. weather); strange; shady; fishy / charming; bewitching; mysterious,JLPT N-2
生け花,いけばな,ikebana; Japanese art of flower arrangement / fresh flower; natural flower,JLPT N-2
入れ物,いれもの,container; case; receptacle / coffin; casket,JLPT N-2
植木,うえき,garden shrubs; trees; potted plant,JLPT N-2
映す,うつす,to project; to reflect; to cast (shadow),JLPT N-2
落ち着く,おちつく,"to calm down; to compose oneself; to regain presence of mind / to calm down; to settle down; to die down; to become stable; to abate / to settle down (in a location, job, etc.); to settle in / to be settled; to be fixed; to have been reached / to harmonize with; to harmonise with; to match; to suit; to fit / to be unobtrusive; to be quiet; to be subdued",JLPT N-2
落とし物,おとしもの,lost property; something dropped and left behind,JLPT N-2
思いつく,おもいつく,to think of; to hit upon; to come into one's mind; to be struck with an idea / to remember; to recall,JLPT N-2
偏る,かたよる,to lean (to one side); to incline / to be unbalanced (e.g. diet); to be unduly weighted towards; to be concentrated on / to be partial; to be biased; to be prejudiced,JLPT N-2
替わる,かわる,to succeed; to relieve; to replace / to take the place of; to substitute for; to take over for; to represent; to hand over (telephone) / to be exchanged; to change (places with); to switch,JLPT N-2
乾杯,かんぱい,toast; drink (in celebration or in honor of something) / drinking one's glass dry / cheers,JLPT N-2
飢饉,ききん,famine; drought; shortage; crop failure,JLPT N-2
区切る,くぎる,to demarcate; to delimit; to divide (an area); to mark off; to cut off / to punctuate; to put an end to (e.g. a sentence); to insert pauses or breaks (e.g. when reading aloud),JLPT N-2
悔しい,くやしい,vexing; annoying; frustrating; regrettable; mortifying,JLPT N-2
蛍光灯,けいこうとう,fluorescent lamp; fluorescent light / person who is slow to react; someone slow on the uptake,JLPT N-2
差し支え,さしつかえ,hindrance; impediment,JLPT N-2
錆,さび,rust,JLPT N-2
静まる,しずまる,to become quiet; to quiet down; to quieten down / to calm down; to die down; to subside; to abate; to be suppressed,JLPT N-2
締め切る,しめきる,to close up; to shut up (e.g. behind doors) / to cut off (e.g. because a deadline has expired); to close off (e.g. subscription list),JLPT N-2
芯,しん,wick; marrow; staple (for stapler); (pencil) lead; stuffing; pith / core; heart; centre; center,JLPT N-2
騒々しい,そうぞうしい,noisy; loud; boisterous; clamorous; raucous / turbulent; unsettled; restless,JLPT N-2
蓄える,たくわえる,"to store; to save up; to stock up on; to lay in stock; to set aside / to accumulate (e.g. knowledge); to build up (e.g. experience); to develop (e.g. one's skills) / to grow (a beard, moustache, etc.); to wear",JLPT N-2
建つ,たつ,to be erected; to be built,JLPT N-2
例える,たとえる,to compare (something) to; to liken; to speak figuratively; to use a simile; to use a metaphor,JLPT N-2
着々,ちゃくちゃく,steadily,JLPT N-2
付き合う,つきあう,to associate with; to keep company with; to go out with; to go steady with; to get on with / to go along with; to follow someone's lead; to accompany someone; to compromise,JLPT N-2
出入り口,でいりぐち,exit and entrance,JLPT N-2
所々,ところどころ,here and there; some parts (of something); several places,JLPT N-2
飛び込む,とびこむ,to jump in; to leap in; to plunge into; to dive / to burst in; to barge in,JLPT N-2
採る,とる,"to adopt (method, proposal, etc.); to take (measure, course of action, etc.); to decide on / to pick (e.g. flowers); to gather (e.g. mushrooms); to catch (e.g. insects) / to extract (e.g. juice); to take (e.g. a sample) / to assume (an attitude) / to take on (workers, students); to employ; to hire / to draw in (e.g. water); to let in (e.g. light from a window)",JLPT N-2
ならう,倣う,to imitate; to follow; to emulate,JLPT N-2
挟む,はさむ,"to hold between; to grip with (from both sides); to nip; to catch (e.g. one's finger in a door) / to put between; to sandwich between; to insert; to interpose; to interject / to be on either side of (a road, table, etc.); to be across (a street, river, etc.); to have between each other",JLPT N-2
歯磨き,はみがき,dental brushing; brushing one's teeth / dentifrice; toothpaste; tooth powder,JLPT N-2
万歳,ばんざい,"crying ""banzai"" (or raising one's hands in the banzai gesture) / something worthy of celebration / giving up / long time / eternal life (and prosperity) / banzai (a celebratory cheer); hurrah (hooray, hurray)",JLPT N-2
日当たり,ひあたり,exposure to the sun; sunny place / per day,JLPT N-2
引き受ける,ひきうける,to take on; to undertake; to accept; to take charge of; to assume responsibility for / to take over; to inherit / to guarantee; to vouch for / to contract (a disease),JLPT N-2
百科事典,ひゃっかじてん,encyclopedia; encyclopaedia,JLPT N-2
増やす,ふやす,to increase; to add to; to augment,JLPT N-2
振る舞う,ふるまう,to behave; to conduct oneself / to entertain; to treat someone (to a drink); to make tea for someone (tea ceremony),JLPT N-2
包帯,ほうたい,bandage; dressing,JLPT N-2
干す,ほす,"to air; to dry; to desiccate / to drain (off) / to drink up / to deprive of a role, job, etc.",JLPT N-2
坊ちゃん,ぼっちゃん,son (of others); boy; young master / green young man from a well-to-do family; young man innocent of the ways of the world,JLPT N-2
混ざる,まざる,to be mixed; to be blended with; to associate with; to mingle with; to join,JLPT N-2
混じる,まじる,to be mixed; to be blended with; to associate with; to mingle with; to interest; to join,JLPT N-2
真っ青,まっさお,deep blue; bright blue / ghastly pale; pallid; white as a sheet,JLPT N-2
まれ,稀,rare; seldom,JLPT N-2
見かけ,みかけ,outward appearance / apparent,JLPT N-2
名字,みょうじ,surname; family name,JLPT N-2
もともと,元々,originally; by nature; from the start,JLPT N-2
悠々,ゆうゆう,quiet; calm; leisurely / distant; far off; boundless; endless / easily; comfortably; without difficulty,JLPT N-2
若々しい,わかわかしい,youthful; young; young-looking,JLPT N-2
嫌がる,いやがる,to hate; to dislike,JLPT N-2
打ち消す,うちけす,to deny; to contradict / to negate (esp. a sound); to drown out,JLPT N-2
応ずる,おうずる,to answer; to respond; to meet / to satisfy; to accept,JLPT N-2
感ずる,かんずる,to feel; to sense,JLPT N-2
塩辛い,しおからい,salty (taste); briny,JLPT N-2
思いがけない,おもいがけない,unexpected; contrary to expectations; by chance; casual,JLPT N-2
長引く,ながびく,to be prolonged; to drag on,JLPT N-2
残らず,のこらず,all; entirely; completely; without exception,JLPT N-2
日日,ひにち,the number of days; date,JLPT N-2
ふもと,麓,foot (of a mountain or hill); bottom; base,JLPT N-2
岬,みさき,cape (on coast),JLPT N-2
道順,みちじゅん,itinerary; route,JLPT N-2
申し訳ない,もうしわけない,"I'm sorry; (it's) inexcusable; I feel regretful; I feel guilty / thank you very much (for help, etc.)",JLPT N-2
地下水,ちかすい,underground water,JLPT N-2
各々,おのおの,each / you (plural),JLPT N-2
おしゃれ,御洒落,smartly dressed; stylish; fashion-conscious / someone smartly dressed / to dress up; to be fashionable,JLPT N-2
その他,そのほか,etc.; otherwise; besides; in addition; the rest; the others; and so forth,JLPT N-2
アイデア,,idea,JLPT N-2
アクセント,,"accent (on a syllable, word); stress; pitch accent / intonation; inflection; cadence / (language) accent (e.g. American, British) / accent (e.g. in a design); highlight; emphasis / accent (on a note)",JLPT N-2
アンテナ,,antenna / thing or method used to collect information or opinions,JLPT N-2
インタビュー,,"interview (i.e. television, newspaper, etc.)",JLPT N-2
ウール,,wool,JLPT N-2
エチケット,,politeness; good manners; courtesy; etiquette,JLPT N-2
オーケストラ,,orchestra,JLPT N-2
オートメーション,,automation,JLPT N-2
オルガン,,organ (musical instrument),JLPT N-2
カーブ,,curve; turn; bend / curveball; curve ball / (wine) cellar,JLPT N-2
カセット,,cassette (tape) / game cartridge,JLPT N-2
カバー,,cover; covering; dust jacket / cover song; cover version / coverage / to compensate for (a loss); to offset (a weakness); to back up,JLPT N-2
カラー,,collar / color; colour / hair colouring (coloring) / calla (variety of arum lily),JLPT N-2
カロリー,,calorie,JLPT N-2
キャンパス,,campus,JLPT N-2
クーラー,,cooler; air conditioner,JLPT N-2
クリーニング,,cleaning; dry cleaning; laundry service,JLPT N-2
コース,,"course (route, trail, course of study, course of action, plan, option) / full course meal (multiple dishes served in sequence); prix fixe meal",JLPT N-2
コック,,cook; chef / tap; spigot; faucet; cock / cock (male fowl) / cock (penis),JLPT N-2
コンクール,,competition; contest,JLPT N-2
こんくりいと,混凝土,concrete,JLPT N-2
コンセント,,electrical outlet; wall socket; power plug,JLPT N-2
ゴム,護謨,gum; rubber / eraser / condom,JLPT N-2
サークル,,group with a common interest (e.g. students); club (e.g. company sports club); circle / circle (shape),JLPT N-2
サイレン,,siren,JLPT N-2
サラリーマン,,office worker; company employee; company man,JLPT N-2
シーズン,,"season (fruits and vegetables, sporting, holidays)",JLPT N-2
シーツ,,sheet; bed sheet,JLPT N-2
シャッター,,"camera shutter / shutter (door, window, etc.)",JLPT N-2
シリーズ,,series,JLPT N-2
ジャーナリスト,,journalist,JLPT N-2
スクール,,school,JLPT N-2
スケジュール,,schedule,JLPT N-2
スタート,,start,JLPT N-2
スチュワーデス,,stewardess; (female) flight attendant,JLPT N-2
ステージ,,stage / performance,JLPT N-2
ストップ,,stop,JLPT N-2
スピーカー,,speaker,JLPT N-2
スマート,,smart; stylish / slim,JLPT N-2
スライド,,"slide / change (in value or situation); proportional change / to slide; to slip / to change (in value, e.g. with a sliding scale); to change (in situation)",JLPT N-2
セメント,,cement,JLPT N-2
センチ,,centimeter; centimetre / centi-; 10^-2 / sentimental,JLPT N-2
ダイヤモンド,,"diamond (mineral, gemstone) / diamond; infield / diamond (card suit)",JLPT N-2
ダイヤル,,"dial (e.g. telephone, radio, clock, gauge)",JLPT N-2
ダブル,,double / double bed; hotel room with a double bed / double-breasted / double-cuffed / double width (of cloth; usu. 1.42 meters) / doubles (e.g. in tennis) / biracial person (esp. half-Japanese); person of mixed parentage,JLPT N-2
ダム,,dam / dumb,JLPT N-2
チョーク,,chalk / choke / chock,JLPT N-2
テーマ,,theme; topic; subject matter; motif; project; slogan,JLPT N-2
テンポ,,tempo,JLPT N-2
トレーニング,,training,JLPT N-2
ナイロン,,nylon,JLPT N-2
ナンバー,,number / number plate; license plate,JLPT N-2
ネックレス,,necklace,JLPT N-2
ハンドル,,handle / steering wheel / (bicycle) handlebar,JLPT N-2
バケツ,,bucket; pail / skip,JLPT N-2
バック,,back / backing; going backwards; reversing / background; background colour (color) / backhand / backer; supporter / refunding / backstroke (swimming) / doggy style (sexual position),JLPT N-2
バランス,,balance,JLPT N-2
パターン,,pattern / behavioural pattern; behavioral pattern; predictability; force of habit,JLPT N-2
パンツ,,underpants; pants; briefs; panties; shorts; knickers / trousers (esp. women's); jodhpurs; breeches; pants; trunks (e.g. swimming),JLPT N-2
ビタミン,,vitamin,JLPT N-2
ビニール,,vinyl / vinyl record,JLPT N-2
ピストル,,pistol,JLPT N-2
ピンク,,pink / erotic (usually used in relation to the sex industry); blue; pornographic,JLPT N-2
ファスナー,,fastener; zipper,JLPT N-2
フライパン,,fry pan; frying pan,JLPT N-2
ブラウス,,blouse,JLPT N-2
プラスチック,,plastic,JLPT N-2
プラットホーム,,platform,JLPT N-2
プリント,,print; copy / handout; flyer,JLPT N-2
プログラム,,program; programme,JLPT N-2
ヘリコプター,,helicopter,JLPT N-2
ベテラン,,person with a lot of experience; old hand; veteran (in a particular field),JLPT N-2
ボーナス,,bonus,JLPT N-2
ポスター,,poster,JLPT N-2
マイナス,,"minus; negative (quantity); subtraction; taking away / deficit / disadvantage; drawback; handicap / negative (ion, pole, growth, image, effect, etc.)",JLPT N-2
マスク,,(face) mask / (facial) features; looks / mask (e.g. for circuit etching),JLPT N-2
マフラー,,muffler; scarf; comforter / muffler (for a vehicle exhaust); silencer,JLPT N-2
マラソン,,marathon; long-distance race / malathion,JLPT N-2
マンション,,condominium (often mid-rise or high-rise concrete); apartment building; apartment house; apartment; flat,JLPT N-2
ミシン,,sewing machine,JLPT N-2
ミリ,,milli-; 10^-3 / millimetre; millimeter,JLPT N-2
メーター,,meter; gauge / metre (i.e. 100 cm); meter / animator,JLPT N-2
メニュー,,menu / schedule; program; programme / (computer) menu,JLPT N-2
モーター,,motor,JLPT N-2
モダン,,modern,JLPT N-2
モデル,,"model; dummy; mock-up / model (profession); fashion model / model (of a car, etc.); make; version / model; example; template; standard / model (in model theory); theory / person a fictional character was modeled on; inspiration",JLPT N-2
ラッシュアワー,,rush hour,JLPT N-2
ランチ,,lunch / (Western-style) single-plate lunch set; plate lunch; lunch set / launch (boat); motorboat / ranch,JLPT N-2
ランニング,,running / tank top,JLPT N-2
リズム,,rhythm,JLPT N-2
リットル,,litre,JLPT N-2
リボン,,ribbon,JLPT N-2
レジャー,,leisure,JLPT N-2
レベル,,level; standard; amount; degree; grade; rank; class / level (plane); floor; storey (story); layer; stratum / spirit level; (surveyor's) level / minor release sequence number (software versioning) / rebel,JLPT N-2
レンズ,,lens,JLPT N-2
ロッカー,,locker / rocker,JLPT N-2
ロビー,,lobby; lounge,JLPT N-2
ワンピース,,dress,JLPT N-2
いつの間にか,いつのまにか,before one knows; before one becomes aware of; unnoticed; unawares,JLPT N-2
歌謡,かよう,song; ballad,JLPT N-2
おかげさまで,お蔭様で,(I'm fine) thank you; thanks to you; fortunately; under the gods' shadow,JLPT N-2
ごちそうさま,ご馳走さま,thank you (for the meal); that was a delicious meal / thank you (for displaying lovey-dovey behaviour),JLPT N-2
ご無沙汰,ごぶさた,"not writing or contacting for a while; neglecting (failing) to write (call, visit, etc.); long silence",JLPT N-2
ごらん,ご覧,(please) try to / (please) look / seeing; looking; watching,JLPT N-2
合流,ごうりゅう,confluence (of rivers); merge (of traffic); conflux; junction; joining / union (e.g. of forces); linking up; merging; coming together,JLPT N-2
斬る,きる,"to kill (a human) using a blade (sword, machete, knife, etc.); to slice (off); to lop (off); to cut (off)",JLPT N-2
初めに,はじめに,first; firstly; first of all; to begin with; in the beginning; at the beginning / Introduction; Preface,JLPT N-2
人命,じんめい,(human) life,JLPT N-2
先ほど,さきほど,some time ago; not long ago; just now,JLPT N-2
送料,そうりょう,postage; carriage; shipping charge,JLPT N-2
楕円,だえん,ellipse,JLPT N-2
抽象,ちゅうしょう,abstraction,JLPT N-2
気をつける,きをつける,to be careful; to pay attention; to take care,JLPT N-2
どく,退く,to step aside; to move (i.e. out of the way); to make way / to resign; to retire; to quit; to secede,JLPT N-2
絨毯,じゅうたん,carpet; rug; runner,JLPT N-2
ため息,ためいき,sigh,JLPT N-2
のんき,暢気,carefree; optimistic; careless; reckless; heedless; happy-go-lucky; easygoing; thoughtless,JLPT N-2
追いかける,おいかける,to chase; to run after; to pursue,JLPT N-2
ブラシ,,brush / brushy / blush,JLPT N-2
転々,てんてん,moving from place to place; being passed around repeatedly / rolling about,JLPT N-2
うっかり,,carelessly; thoughtlessly; inadvertently,JLPT N-2
うろうろ,,loiteringly; aimless wandering; restlessly,JLPT N-2
お手伝いさん,おてつだいさん,maid,JLPT N-2
かしこまりました,畏まりました,certainly!,JLPT N-2
ぎっしり,,tightly (packed); densely; closely; crammed,JLPT N-2
くしゃみ,嚏,sneeze / spoken twice in response to someone sneezing as a charm against an early death,JLPT N-2
くたびれる,草臥れる,to get tired; to be exhausted / to wear out; to be battered from long use,JLPT N-2
くっつく,くっ付く,to adhere to; to stick to; to cling to / to keep close to; to go along with / to get involved with; to be thick with; to become intimate,JLPT N-2
くっつける,くっ付ける,to attach; to stick together; to paste; to glue / to place together; to put side-by-side / to make someone get married; to get someone hitched,JLPT N-2
こっそり,,stealthily; secretly,JLPT N-2
さっさ,,promptly; immediately; quickly; without delay / indifferently,JLPT N-2
しつこい,執拗い,"insistent; obstinate; persistent; tenacious / too rich (taste, etc.); fatty; heavy; greasy",JLPT N-2
しゃがむ,,to squat; to crouch,JLPT N-2
しゃっくり,吃逆,hiccough; hiccup,JLPT N-2
すっきり,,refreshingly; with a feeling of relief; pleasantly; (a weight) off one's shoulder / shapely; neatly; refinedly / cleanly; without trouble / clearly; plainly; distinctly / completely; thoroughly / not at all (with negative sentence); not even slightly,JLPT N-2
ずらす,滑らす,to shift; to slide (e.g. something away from something else); to move (e.g. something out of the way) / to put off; to delay; to postpone; to stagger (e.g. working hours),JLPT N-2
そそっかしい,,careless; thoughtless; hasty; rash,JLPT N-2
そっと,,softly; gently; quietly / secretly; stealthily / to leave alone; to leave as it is,JLPT N-2
その上,そのうえ,in addition; furthermore / above (which); on top of (which),JLPT N-2
だらしない,だらし無い,"slovenly (appearance, work, etc.); sloppy; untidy; undisciplined; careless; loose; slack / weak; feeble; weak-willed; gutless",JLPT N-2
どうせ,,anyhow; in any case; at any rate; after all; at all; no matter what / at best; at most,JLPT N-2
ドキドキ,,thump-thump; bang-bang; pit-a-pat; pitapat; pitter-patter / to beat fast (of one's heart); to throb; to pound; to palpitate,JLPT N-2
のろのろ,,slowly; sluggishly,JLPT N-2
ピカピカ,,with a glitter; with a sparkle / brand new; shiny and new,JLPT N-2
ぶつかる,打つかる,to strike against; to collide with; to bump into; to conflict / to encounter; to meet / to clash,JLPT N-2
ぶつぶつ,,grunt; grumble; complaint; mutter / pimples; spots; eruption; rash / cutting into small pieces / simmering,JLPT N-2
ぶら下げる,ぶらさげる,to hang; to suspend; to dangle; to swing; to carry,JLPT N-2
まあまあ,,"so-so; passable / now, now / my, my",JLPT N-2
まごまご,,confused; flustered; at a loss,JLPT N-2
めっきり,,remarkably,JLPT N-2
もしかしたら,若しかしたら,perhaps; maybe; perchance; by some chance; by any chance,JLPT N-2
もしかすると,若しかすると,perhaps; maybe; by some chance,JLPT N-2
やっぱり,矢っ張り,too; also; likewise; either / still; as before / even so; either way; after all; nonetheless; in any event; all the same / as expected,JLPT N-2
よこす,寄越す,to send; to forward / to hand over (e.g. money),JLPT N-2
ニコニコ,,with a friendly grin; smilingly,JLPT N-2
ばね,発条,"spring (e.g. coil, leaf); mainspring; power spring",JLPT N-2
フワフワ,,"lightly (floating, drifting, etc.); buoyantly / soft; fluffy; spongy / unsteadily; flightily; fickly; frivolously",JLPT N-2
ペンチ,,cutting pliers; lineman's pliers; combination pliers,JLPT N-2
レインコート,,raincoat; mackintosh; macintosh; trench coat,JLPT N-2
レクリエーション,,recreation / re-creation,JLPT N-2
ローマ字,ローマじ,romaji; romanized Japanese; system of transliterating Japanese into the Latin alphabet / Latin alphabet; Roman alphabet,JLPT N-2
慰める,なぐさめる,to comfort; to console; to amuse,JLPT N-2
一休み,ひとやすみ,(short) rest; breather; break,JLPT N-2
いったん,一旦,once / for a short time; briefly; temporarily / one morning,JLPT N-2
あふれる,溢れる,to overflow; to brim over; to flood,JLPT N-2
よる,因る,"to be due to; to be caused by / to depend on; to turn on / to be based on; to come from / to be based at (a location, an organization); to be headquartered at",JLPT N-2
ひっくり返る,ひっくりかえる,to be overturned; to be reversed; to turn over; to capsize / to fall down; to tumble down; to topple over; to lie on one's back,JLPT N-2
円周,えんしゅう,circumference,JLPT N-2
煙い,けむい,smoky,JLPT N-2
凹む,へこむ,to be dented; to be indented; to yield to; to give; to sink; to collapse; to cave in / to be overwhelmed; to feel down; to be forced to yield; to be daunted; to be snubbed,JLPT N-2
くだらない,下らない,good-for-nothing; stupid; trivial; worthless,JLPT N-2
仮名遣い,かなづかい,kana orthography; syllabary spelling,JLPT N-2
可愛がる,かわいがる,to love; to cherish; to be affectionate to; to treat tenderly; to dote on / to show favouritism to; to be partial to / to fondle; to caress; to pet / to be tough on; to be rough with; to torment; to train harshly,JLPT N-2
ほどく,解く,to undo; to untie; to unfasten; to unlace; to unravel; to loosen,JLPT N-2
各地,かくち,every place; various places,JLPT N-2
裂く,さく,"to tear; to rip up / to cut up; to cleave; to cut open (esp. the abdomen) / to forcibly separate (e.g. two lovers) / to spare (time, money, etc.); to use part of something / to have a tattoo in the corner of one's eye",JLPT N-2
かっこ,括弧,parentheses; brackets,JLPT N-2
渇く,かわく,to be thirsty; to feel thirsty / to thirst for; to crave,JLPT N-2
巻く,まく,"to wind; to coil; to roll; to wear (e.g. turban, scarf) / to envelope; to shroud / to outflank; to skirt / to link (verse) / to move ahead (three hours, etc.); to move up",JLPT N-2
やかましい,喧しい,noisy; loud; clamorous; boisterous / much talked of; much-discussed; vexed / strict; severe; stern / particular; fussy; fastidious; fault-finding; carping,JLPT N-2
漢和,かんわ,China and Japan / Chinese and Japanese (languages) / Chinese Character-Japanese dictionary,JLPT N-2
含める,ふくめる,to include (in a group or scope) / to instruct; to make one understand / to include (a nuance); to put in (an implication) / to put in (someone's) mouth / to permeate with flavor,JLPT N-2
かえって,却って,on the contrary; rather; all the more; instead,JLPT N-2
客間,きゃくま,drawing room; parlor; parlour; guest room,JLPT N-2
汲む,くむ,"to draw (water); to ladle; to dip up; to scoop up; to pump / to pour (into a cup); to drink (together) / to consider (feelings, the situation, etc.); to sympathize with; to intuit; to understand / to draw upon; to inherit",JLPT N-2
響く,ひびく,to resound; to be heard far away / to reverberate; to shake; to vibrate / to come (home); to remain (with someone) / to have an effect; to make an impression,JLPT N-2
くず,屑,waste; scrap; garbage; dregs / chad,JLPT N-2
敬う,うやまう,to show respect for; to revere; to honour; to honor; to worship; to hold in esteem,JLPT N-2
つながり,繋がり,connection; link; relationship,JLPT N-2
つながる,繋がる,to be tied together; to be connected to; to be linked to / to lead to; to be related to / to be related (by blood),JLPT N-2
あくび,欠伸,"yawn; yawning / kanji ""yawning"" radical (radical 76)",JLPT N-2
みっともない,見っともない,shameful; disgraceful; indecent; unseemly; unbecoming; improper,JLPT N-2
謙遜,けんそん,modesty; humility; being humble,JLPT N-2
こしょう,胡椒,pepper,JLPT N-2
またぐ,跨ぐ,to step over; to step across; to stride over; to stride across; to cross / to stretch over; to span; to bridge; to saddle; to straddle,JLPT N-2
くれぐれも,呉れ呉れも,sincerely; earnestly / repeatedly; over and over; again and again,JLPT N-2
御中,おんちゅう,and Company; Messrs; for the attention of ...,JLPT N-2
ごめん,御免,your pardon; sorry; no thanks / not wanting; objecting to; being fed up with; wishing to avoid / permission; leave; dismissal; discharge,JLPT N-2
